LINE_KEY,LAYER1_MATERIAL_NAME,LAYER1_COMPOSED_PERCENTAGE,LAYER2_MATERIAL_NAME,LAYER2_COMPOSED_PERCENTAGE,RAW_MATERIAL_NAME,RAW_MATERIAL_NAME_CLEAN,RAW_MATERIAL_COMPOSED_PERCENTAGE,EMISSION_FACTOR,UNIT,PERCENTAGE_TOTAL_CONTRIBUTION,PART,CLIENT_NAME,CLIENT_GROUP,DESCRIPTION,YEAR
3554_1650532045248_97418,,,,,metallic fibre,Metal,null,5.269,kgCO2e/kg,0.0016636428081157047,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DUBELETTE,2022
3554_1643284403441_75422,,,,,viscose,Viscose/Rayon fabric,0.22,13.92,kgCO2e/kg,0.22,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY764 / ACLS22CHLIN,2022
2870_1654747041539_91365,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC VANITY CASE SLEEP KIT AR22 A0X
Container:FSC Washable Kraft
paper ( FSC MIX CREDIT)",2022
2881_1642224884777_40165,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,45258.1 Sudersand Beach Towel,2022
3554_1663208472782_96829,,,,,polyester,Polyester plastic,0.99,4.685,kgCO2e/kg,0.99,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN344 / ICCS23CHMAR-LILAS
with 7.5%rebate",2022
4475_1642163897972_81622,,,,,polyethylene terephtalate (pet),polyethylene terephtalate (pet),null,3.50201,kgCO2e/kg,0.00209555741827326,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,Comfort Foot Pumice Stone,2022
4804_1658478505977_80442,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Interlining,Rituals Cosmetic Trade B.V.,Group - Rituals,Treasure Box XLarge Red,2022
2870_1651137243456_83707,,,,,polyester,Polyester plastic,0.5,4.685,kgCO2e/kg,0.5,Body,Société FIB NC7,Group - Camaieu,ABELTLILYSUEDE,2022
3006_1665159355392_43504,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.014632989105134374,null,JACADI,Group - Jacadi,3clips in one set,2022
3554_1643269295719_48152,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.05,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY786 / ACCS22CRFUN,2022
