TRANSACTION_ID,TRANSACTION_LINE_ID,LINE_KEY,CLIENT_NAME,CLIENT_GROUP,ASSET_REFERENCE_ID,ASSET_NAME,ASSET_CATEGORY,ASSET_FAMILY,ASSET_SUBFAMILY,ASSET_UNIT_WEIGHT_KG,ASSET_DESCRIPTION,BATCH_SIZE,ASSET_SUPPLIERS,ASSET_SUPPLIERS_COUNT,YEAR
137595,1,52815_1697511038970_9344,Rituals Cosmetic Trade B.V.,Group - Rituals,7268,102.063,Sundries,Home,Living Room,0.31,Metal Holder - Metal Window Silver,14016,"[""Guangdong ShengYiLong House Product Technology Limited""]",1,2024
96104,1,2898_1682428550172_1078,SLG BRANDS LIMITED,Group - SLG,10745,104.829,Cosmetics,Toiletries,Gift Set,1.063877,"READY FOR THE ADVENTURE

Content:
150ml Body Wash
150ml Shampoo
200g shaped soap bar (shrink wrapped)
E-flute insert
Box for soap
Rucksack
Sock
Swing tag",13169.454545454546,"[""SHANGHAI BRIGHT LIFE I/E CO., LTD"",""Wahmate Industrial Company Limited"",""DONGGUAN SHUNQI HANDBAGS INDUSTRIES CO.LTD"",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",4,2023
103610,1,4483_1686214034855_41257,"MAERSK CONTRACT LOGISTICS(GUANGDONG) CO., LTD",Group - Rituals,11233,105.316,Packaging,Secondary,Boxes / Paper Bags - Foldable Box,0.257,"Sakura Fragrance Sticks Duo CN
Box + Sleeve + Fitments x 2 
Box- 128gsm coated paper for wrapping + 1.2mm grey board + 100gsm Uncoated paper for lining
Sleeve- 400gsm One-side coated artcard
Fitment- 250gsm CCNB + 250gsm CCNB",2500,"[""Xiamen Thinker Packaging Products Co.,Ltd.""]",1,2023
77339,1,4804_1671180127316_21639,Rituals Cosmetic Trade B.V.,Group - Rituals,4700,100.082,Sundries,Home,Bathroom,1.265,Dedaine Soap Dispenser Black Marble,1002,"[""Guangdong ShengYiLong House Product Technology Limited""]",1,2023
88211,9,2895_1679023679852_24506,The Body Shop International Limited,Group - The Body Shop,10112,104.198,Beauty Accessories,Face,Face & Eye Massagers,0.14661832000000002,FACIAL ROLLER DOUBLE ENDED XM23 A0X,6120,"[""Sure Fashion Products Co Ltd"",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",2,2023
67534,1,3180_1664446641528_89313,Avon Cosmetics Ltd,Group - Avon,8668,102.856,Home Fragrance,Diffusers,Reed Diffusers,0.289325,White Jasmine & Neroli 70ml Diffuser ,2520,"[""Ramesh Flowers Private Limited""]",1,2023
85081,1,3006_1677125367015_80670,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,9905,103.991,Hair Accessories,Hair Accessories,Elastics,0.012,3elastics in one set,2200,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2023
60969,11,2881_1660903341486_25302,NEWORCH,Group - Orchestra,8528,102.718,Textiles,Textile Accessories,Cut & Sew Hat / Cap,0.07600000000000001,OGRANDY-AY CASQUETTE,1504,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD""]",2,2023
134728,29,3173_1695712987467_52450,Concept 4 SRL - Kiabi,Group - Kiabi,11892,105.871,Fashion Accessories,Eyewear,Sunglasses,0.0356,BIQ10 / ICOS24GCEUR-PINK,638,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Wenzhou Dongtian Glasses Manufacture Co.,Ltd""]",2,2024
98189,13,3554_1683354506869_63388,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,10330,104.415,Hair Accessories,Hair Accessories,Elastics,0.489396,"XM727 / ADCW20ETRE9-BLK BROWN
Elastic with 100pcs in set
with 3%rebate",488,"[""New ChaoQi Hair Accessories Co.LTD.DongGuan"",""Chic Accessories Factory"",""YIWU HANJI KNITTED GOODS FACTORY""]",3,2023
93742,21,3554_1681455253164_98381,NWBEEZ ltd,Group - Sergent Major,10226,104.312,Hair Accessories,Hair Accessories,Soft Headbands,0.018641,"SYAJOSERR3
Headband 1pc
with 7.5%rebate",2654,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory""]",2,2023
145419,6,3554_1702888668162_77537,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,12526,106.504,Hair Accessories,Hair Accessories,"Barrettes, Clips and Combs",0.041677,"BJN42 / ICCS24NOEUD
set of 2pcs
with 7.5%rebate",45,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2024
88625,4,2870_1679299306215_44276,The Body Shop International Limited,Group - The Body Shop,10163,104.249,Bags,Pouches,Cos Pouch,0.444,GC VANITY CASE CBB MEDIUM XM23 A0X,972,"[""DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD."",""WFL Printing Limited""]",2,2023
98348,49,2898_1683367713301_97099,SLG BRANDS LIMITED,Group - SLG,11023,105.107,Cosmetics,Toiletries,Gift Set,0.1573,"QUILTED BEAUTY BAG RAD001

Content:
30m Hand Cream
12ml Lip Balm 
Nail file
Beauty Bag
Wrapband",780,"[""DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD."",""Frog Prince(Fujian)Baby & Child Care Products Co.,Ltd.""]",2,2023
143427,4,3554_1701312833251_89077,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,12388,106.366,Hair Accessories,Hair Accessories,Elastics,0.013239999999999998,"KAZETTE
Elastic with 4pcs in set
with3%rebate",4587,"[""Chic Accessories Factory""]",1,2023
81323,4,4804_1673522831858_66411,Rituals Cosmetic Trade B.V.,Group - Rituals,9778,103.865,Sundries,Home,Bathroom,0.41309999999999997,Dumeure Soap Dispenser,2502,"[""Dongguan Xingyi Printing Co., Ltd."",""Guangdong ShengYiLong House Product Technology Limited""]",2,2023
87532,2,2900_1678700946714_47778,Rituals Cosmetic Trade B.V.,Group - Rituals,10053,104.139,Packaging,Secondary,Accessories - Ribbons / Cords / Elastics,0.010199999999999999,"Ribbon Easter Egg Karma 2024

Ribbon: 25mm Grosgrain Ribbon + 2mm Round Elastic band and 6mm Flat Elastic band",108000,"[""YangZhou Bestpak Gifts & Crafts Co., Ltd.""]",1,2023
97109,5,3180_1682768791940_1156,SLG BRANDS LIMITED,Group - SLG,10873,104.957,Cosmetics,Toiletries,Body - Bath Foam,0.301,SUPERDRY - Originals Pack Socks and Duo,5148,"[""Frog Prince(Fujian)Baby & Child Care Products Co.,Ltd."",""SHANGHAI BRIGHT LIFE I/E CO., LTD""]",2,2023
71154,1,3180_1666841039874_9418,Cosmeticos Avon S.A.,Group - Avon,5137,100.315,Home Fragrance,Candles,Filled,0.315,Lavender Blossom Jar Candle,6912,"[""Dongguan Xingyi Printing Co., Ltd."",""Ningbo Kwungs Home Interior & Gift Co Ltd""]",2,2023
74279,1,4483_1668752582124_14215,Rituals Cosmetic Trade B.V.,Group - Rituals,4558,1114603 Ribbon Homme Small 2022,Packaging,Secondary,Accessories - Ribbons / Cords / Elastics,0.005599999999999999,"Ribbon Homme Small 2022 

Ribbon: 100% polyester 39mm GG Ribbon in 277mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)",23940,"[""YangZhou Bestpak Gifts & Crafts Co., Ltd.""]",1,2023
148983,1,3006_1705031050373_57459,TAPE à l'oeil,Group - TAO,11780,105.759,Hair Accessories,Hair Accessories,"Barrettes, Clips and Combs",0.01,2clips in one set,2500,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory""]",2,2024
91786,1,3180_1680235420106_2604,Avon Cosmetics Ltd,Group - Avon,10267,104.353,Home Fragrance,Oil,Essential Oils,0.394,FRAGRANCE ZONING,2376,"[""Ningbo Kwungs Home Interior & Gift Co Ltd""]",1,2023
104108,1,4475_1686648227622_29887,Oriflame Cosmetics Global S.A.,Group - Oriflame,5286,100.434,Beauty Accessories,Face,Eyebrow Tools,0.0105,44002.1THE ONE Tweezer,50000,"[""NINGBO RAFFINI IMPORT & EXPORT CO., LTD.""]",1,2023
98979,1,3180_1683772171097_52767,Avon Cosmetics Ltd,Group - Avon,8970,103.157,Home Fragrance,Scented Items,Fresheners,0.043,White Jasmine & Neroli Sachet ,5040,"[""Ramesh Flowers Private Limited""]",1,2023
88107,4,2900_1678939435414_62179,The Body Shop International Limited,Group - The Body Shop,10065,104.151,Packaging,Secondary,Boxes / Paper Bags - Non-Foldable Box,0.355,"GC BOX ROUTINE SLEEP XM23 A0X
Case: 140gsm woodfree paper + 1.5mm greyboard +Jute Ribbon
Base: 120gsm kraft paper + 1.5mm greyboard 
Fitment: corrugated board + 1.5mm greyboard
(FSC MIX CREDIT)",608,"[""WING FAIT BNG (CHINA) PRINTING LIMITED""]",1,2023
97274,1,3180_1682940111214_4961,Avon Cosmetics Ltd,Group - Avon,8938,103.125,Home Fragrance,Scented Items,Fresheners,0.042,Fresh Cotton Sachet (2023) ,10080,"[""Ramesh Flowers Private Limited""]",1,2023
76270,3,15447_1670462337069_67249,SLG BRANDS LIMITED,Group - SLG,9586,103.673,Cosmetics,Color Cosmetics,Eyes - Eyeshadow,0.0689,ONL EYE QUAD RC,1190,"[""Zhongshan Domiline Cosmetics Co., Ltd.""]",1,2023
78114,2,3554_1672038990648_45309,GEMO,Group - Gemo,9723,103.810,Hair Accessories,Hair Accessories,Soft Headbands,0.015,"39RAPI
Headband 1pc per set
3%rebate",6000,"[""Chic Accessories Factory""]",1,2023
86733,1,4475_1678243106572_68237,Oriflame Cosmetics Global S.A.,Group - Oriflame,8812,103.000,Beauty Accessories,Body,Body Cleansing Accessories,0.0304,"46412.1Reusable Razor
with FSC box and sleeve",40050,"[""Ningbo Kaili Holding Group Co.,ltd"",""NINGBO CENTURY YONGHE PRINTING INDUSTRY DEVELOPMENT CO.,LTD""]",2,2023
92326,7,3554_1680595386092_39565,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,10326,104.411,Hair Accessories,Hair Accessories,Hair Sets,0.050232,"AEK73 / ICCW23BALEO
Hair clip 6pcs+Elastic with 3pcs in set
with 3%rebate",658,"[""New ChaoQi Hair Accessories Co.LTD.DongGuan"",""Chic Accessories Factory"",""YIWU HANJI KNITTED GOODS FACTORY""]",3,2023
137729,16,3554_1697535705879_76988,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,11996,105.975,Hair Accessories,Hair Accessories,Elastics,0.10369699999999998,"XL791 / ADLW20ECOOL-REAL BLACK
set of 10 items
with 3% rebate",126,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2023
145859,6,3554_1703059888588_48877,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,12552,106.530,Hair Accessories,Hair Accessories,Soft Headbands,0.055697,"BJN65 / ICCS24STCER
set of 2pcs
with 3%rebate",143,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2024
148458,16,3554_1704787144537_46334,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,11961,105.940,Hair Accessories,Hair Accessories,Soft Headbands,0.016807000000000002,BAM79 / ICLS24BANDO,3998,"[""Chic Accessories Factory"",""Li Fu Enterprises Corp.""]",2,2024
93502,1,3180_1681289742484_95480,Avon Cosmetics Ltd,Group - Avon,10399,104.484,Home Fragrance,Diffusers,Reed Diffusers,0.34768,Eve Diffuser Giftset,928,"[""Dongguan Xingyi Printing Co., Ltd."",""Ningbo Kwungs Home Interior & Gift Co Ltd""]",2,2023
77312,7,3554_1671174893886_92150,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,9677,103.764,Hair Accessories,Hair Accessories,Soft Headbands,0.020467000000000003,"ZS308/ICCS23STFLO
1pcs headband in set
with7.5%rebate",296,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2023
67059,1,3180_1664349506756_37915,Avon Cosmetics Ltd,Group - Avon,8947,103.134,Home Fragrance,Scented Items,Incense Sticks / Cones,0.01297,Lavender & Bergamot Car Diffuser Refill,16740,"[""Ningbo New Beauty Commodity Co., Ltd."",""Dongguan Xingyi Printing Co., Ltd.""]",2,2023
70059,10,3173_1666245463113_37100,Concept 4 SRL - Kiabi,Group - Kiabi,9181,103.368,Fashion Accessories,Eyewear,Sunglasses,0.031000000000000003,ZT402 / JBOS23GROND-AO_FLOWER,195,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Wenzhou Dongtian Glasses Manufacture Co.,Ltd""]",2,2023
84050,19,15447_1676040436786_50835,SLG BRANDS LIMITED,Group - SLG,9563,103.650,Cosmetics,Color Cosmetics,Eyes - Eyeshadow,0.0942,RET 12 PLT GLITTER,2100,"[""Zhongshan Domiline Cosmetics Co., Ltd.""]",1,2023
143256,1,3173_1701222679994_92723,NEWORCH,Group - Orchestra,11787,105.766,Fashion Accessories,Eyewear,Sunglasses,0.081,SUNGLASS,264,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Zhejiang Outlook Optical Manufactory Co.,Ltd""]",2,2024
134390,6,3554_1695614918097_23087,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,11875,105.854,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.027277,"BAV20/ICCS24CLARC
set of 4 pcs
with 3%rebate",80,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2023
139107,1,3554_1698291568791_41217,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,12102,106.081,Hair Accessories,Hair Accessories,"Barrettes, Clips and Combs",0.01496,"KECHUETTE 1
Hair clip with 2pcs in set
with7.5%rebate",6005,"[""Chic Accessories Factory""]",1,2023
81321,5,4804_1673521308362_58078,Rituals Cosmetic Trade B.V.,Group - Rituals,4728,100.110,Sundries,Home,Bathroom,0.592,Enume Tissue Box Antique,102,"[""Guangdong ShengYiLong House Product Technology Limited""]",1,2023
84326,1,2881_1676430238685_70336,Rituals Cosmetic Trade B.V.,Group - Rituals,9883,103.969,Textiles,Home Textile,Duvet Cover,0.2,Singapore Satin Cotton Duvet Cover 150x200cm Grey,78,"[""Homesense Textile Co. Ltd""]",1,2023
96085,1,2898_1682427723445_99999,SLG BRANDS LIMITED,Group - SLG,10737,104.821,Cosmetics,Toiletries,Gift Set,0.4942,"LEAVE THE ROADS TAKE THE TRAILS

Content:
150ml Body Wash
150ml Shampoo
Sock
Box & Fitment",8202,"[""SHANGHAI BRIGHT LIFE I/E CO., LTD"",""Wahmate Industrial Company Limited"",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",3,2023
84787,1,3180_1676943074046_17166,Avon Cosmetics Ltd,Group - Avon,9911,103.997,Home Fragrance,Candles,Filled,0.5372,Festive Spice Candle,2670,"[""Ramesh Flowers Private Limited""]",1,2023
132741,1,3006_1694497649395_62772,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,11798,105.777,Hair Accessories,Hair Accessories,Elastics,0.011,2elastics in one set,1100,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory""]",2,2023
146636,6,3554_1703755528600_98208,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5867,100.900,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.05046799999999999,XX307 / ADLS21BARIS,155,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2024
136033,1,3554_1696756385450_61890,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,11927,105.906,Hair Accessories,Hair Accessories,Soft Headbands,0.022701000000000002,KABETH,360,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory"",""Li Fu Enterprises Corp.""]",3,2023
73590,1,3006_1668477508435_56898,Okaidi France SAS,Group - Okaidi,9436,103.523,Hair Accessories,Hair Accessories,Hairbands,0.021,1hairband in one set,160,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd.""]",2,2023
94058,11,3554_1681810683731_90707,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,8972,103.159,Hair Accessories,Hair Accessories,Elastics,0.080898,XL787 / ADLW20TORTL,941,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2023
96137,7,15447_1682438331784_62254,SLG BRANDS LIMITED,Group - SLG,10583,104.668,Cosmetics,Toiletries,Gift Set,0.163,"I AM FILLED WITH PEACE

Content:
23g Sleep Multi Purpose Balm
70ml Sleep Pillow Mist
Box",3360,"[""Dongguan Xingyi Printing Co., Ltd."",""Wahmate Industrial Company Limited""]",2,2023
107992,1,2881_1688525518644_90016,NEWORCH,Group - Orchestra,11358,105.441,Textiles,Textile Accessories,Cut & Sew Hat / Cap,0.048,ELION-BA  CASQUETTE,7040,"[""ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD""]",1,2023
98348,27,2898_1683367713301_68054,SLG BRANDS LIMITED,Group - SLG,10967,105.051,Cosmetics,Toiletries,Gift Set,0.7792999999999999,"VANITY CASE BOO001

Content :
30ml Hand Cream
Badge Mirror
Nail File
Vanity Case
Wrapband",12,"[""DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD."",""Frog Prince(Fujian)Baby & Child Care Products Co.,Ltd.""]",2,2023
