FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-01-03T00:00:00Z,3736,CF-HK-23010006,Sea,DDP,"Zhuhai, China","Antwerp, Belgium",China,Belgium,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1666324047578_10216,6775,3736,9188,422,10.0474,4240.0028,33,23,30,0.0228,9.60894,15192,Sea,null,2023
2023-01-02T00:00:00Z,3928,CF-HK-23010192,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1664360866792_80859,7109,3928,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-01-02T00:00:00Z,3930,CF-HK-23010194,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1664359924014_72985,7111,3930,5477,822,14.8,12165.6,54,44,32,0.076,62.498304,164400,Sea,18411,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_66418,7127,3931,9139,2,8.8,17.6,60,40,30,0.072,0.144,532,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_3563,7126,3931,9139,1,7.1,7.1,60,40,30,0.072,0.072,208,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_90610,7125,3931,9139,1,3.6,3.6,60,40,15,0.036,0.036,95,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_90610,7124,3931,9139,1,8.8,8.8,60,40,30,0.072,0.072,266,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_87264,7123,3931,9139,1,7.732,7.732,60,40,30,0.072,0.072,230,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_87264,7122,3931,9139,1,8.4,8.4,60,40,30,0.072,0.072,253,Sea,19492,2023
2023-01-13T00:00:00Z,3931,CF-HK-23010195,Sea,DDP,"Shanghai, China","Rotterdam, Netherlands",China,Netherlands,Concept 4 SRL - Kiabi,"Wenzhou Dongtian Glasses Manufacture Co.,Ltd",3173_1666161196360_59056,7121,3931,9139,1,6.765,6.765,60,40,30,0.072,0.072,196,Sea,19492,2023
